Month,Customer,Customer_Type,Customer_Age,Product,Product_Type,Revenue,,,,,,,,,,,,,,,,
2023-03-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,55730,,,,,,,,,,,,,,,,#REF!
2023-01-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,52535,,,,,,,,,,,,,,,,
2023-02-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,49945,,,,,,,,,,,,,,,,
2022-10-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,49327.5,,,,,,,,,,,,,,,,
2022-03-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,49272.5,,,,,,,,,,,,,,,,
2022-09-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,48500,,,,,,,,,,,,,,,,
2022-08-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,48222.5,,,,,,,,,,,,,,,,
2023-05-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,48132.5,,,,,,,,,,,,,,,,
2021-10-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,47610,,,,,,,,,,,,,,,,
2022-01-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,46855,,,,,,,,,,,,,,,,
2023-04-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,46820,,,,,,,,,,,,,,,,
2022-11-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,46010,,,,,,,,,,,,,,,,
2022-06-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,45765,,,,,,,,,,,,,,,,
2022-02-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,45452.5,,,,,,,,,,,,,,,,
2021-03-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,45352.5,,,,,,,,,,,,,,,,
2021-09-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,44735,,,,,,,,,,,,,,,,
2021-06-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,44680,,,,,,,,,,,,,,,,
2023-06-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,43940,,,,,,,,,,,,,,,,
2022-04-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,43645,,,,,,,,,,,,,,,,
2022-05-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,43362.5,,,,,,,,,,,,,,,,
2021-08-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,43355,,,,,,,,,,,,,,,,
2021-04-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,42757.5,,,,,,,,,,,,,,,,
2021-07-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,42730,,,,,,,,,,,,,,,,
2021-11-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,41410,,,,,,,,,,,,,,,,
2022-12-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,41380,,,,,,,,,,,,,,,,
2021-05-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,41010,,,,,,,,,,,,,,,,
2021-12-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,40955,,,,,,,,,,,,,,,,
2022-07-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,40230,,,,,,,,,,,,,,,,
